feats,op,order,v_sep,tail_ir,flip_rate,half1_sep,half2_sep,range_corr,redundancy,max_component_sep,lift_over_components
atr_percentage|mp_d5_b169_sym_top_left|cv_20d_regime_low,mean3,3,0.0679897648250791,0.806200385883647,0.34375,0.07468194218665056,0.06150038071688858,0.35350704130162136,0.6018294756851734,0.049875357889666544,0.018114406935412553
ATR%|hammer_pattern|G_Volume_Price_Impact_Indicator,mean3,3,0.06729825882385425,0.8061565477539092,0.265625,0.0720114220784659,0.0627279186981702,0.237361876937781,0.6156431150952478,0.049875357889666544,0.017422900934187704
atr_percentage|hammer_pattern|G_Volume_Price_Impact_Indicator,mean3,3,0.06729825882385425,0.8061565477539092,0.265625,0.0720114220784659,0.0627279186981702,0.23736186582418847,0.6156430646789208,0.049875357889666544,0.017422900934187704
ATR%|rapid_price_change_zscore|volatility_score,mean3,3,0.06591461149263944,0.8061081496448552,0.3125,0.09193465512335214,0.04068305403255437,0.2508040870789327,0.6337942134330271,0.049875357889666544,0.016039253602972897
atr_percentage|rapid_price_change_zscore|volatility_score,mean3,3,0.06591461149263944,0.8061081496448552,0.3125,0.09193465512335214,0.04068305403255437,0.25080407579202296,0.6337941593558402,0.049875357889666544,0.016039253602972897
F4_Price_Ratio|atr_percentage|direction_flipper_count5,mean3,3,0.06564232898334488,0.8059309816814026,0.25,0.07276023065529784,0.05874012130145111,0.31800897595099603,0.5859895406345279,0.05307409683031943,0.012568232153025445
F4_Price_Ratio|atr_percentage|trend_consistency_5d,mean3,3,0.06564232898334488,0.8059309816814026,0.25,0.07276023065529784,0.05874012130145111,0.31800897582792725,0.585989539863445,0.05307409683031943,0.012568232153025445
F4_Price_Ratio|ATR%|trend_consistency_5d,mean3,3,0.06563778806971306,0.8058916931174187,0.25,0.07276023065529784,0.05873117707763085,0.3180089826673881,0.5859895885796323,0.05307409683031943,0.012563691239393625
F4_Price_Ratio|ATR%|direction_flipper_count5,mean3,3,0.06563778806971306,0.8058916931174187,0.25,0.07276023065529784,0.05873117707763085,0.3180089827904569,0.5859895893507154,0.05307409683031943,0.012563691239393625
F4_Price_Ratio|rapid_price_change_zscore|Volume%_rolling_90,mean3,3,0.06074442275415215,0.805643172068669,0.3125,0.050728389027916786,0.07045694030686525,0.45805271877678677,0.5485473886354786,0.05307409683031943,0.007670325923832717
ATR%|trading_signal_composite|G_Log_Scaled_Price_Ratio,mean3,3,0.06053803331971846,0.804820928409869,0.34375,0.07105791843221045,0.05033693260457471,0.46607771452614255,0.5262663653042039,0.049875357889666544,0.010662675430051914
atr_percentage|trading_signal_composite|G_Log_Scaled_Price_Ratio,mean3,3,0.06053803331971846,0.804820928409869,0.34375,0.07105791843221045,0.05033693260457471,0.46607771297935063,0.5262663118614054,0.049875357889666544,0.010662675430051914
Realized_Vol_10d|information_rate_of_change|Volume%_rolling_90,mean3,3,0.059303876967009894,0.8037341684681591,0.40625,0.061554775335487394,0.05712118764000141,0.4285057482246475,0.5086260588849261,0.04172626192978929,0.017577615037220606
rapid_price_change_zscore|information_rate_of_change|Volume%_rolling_90,mean3,3,0.06196100749976601,0.801018491727486,0.390625,0.057377238079344965,0.06640587481653794,0.3646385726648441,0.475183040498295,0.041747530178064124,0.020213477321701888
hammer_pattern|Realized_Vol_21d|volatility_score,mean3,3,0.06345636773736556,0.8002429579039694,0.3125,0.0725223551139763,0.054665107250955136,0.230960863660832,0.45701338464037333,0.035384398153722414,0.028071969583643143
F4_Price_Ratio|information_rate_of_change|Volume%_rolling_90,mean3,3,0.06583228122184166,0.7994143039115739,0.3125,0.052627064123080075,0.07863734022670138,0.445460284897421,0.4973944059092444,0.05307409683031943,0.01275818439152223
ATR%|mp_d4_b291_sym_frob|volatility_score,mean3,3,0.06886258810228249,0.7986530189234424,0.25,0.08732897389425115,0.050955789758555324,0.27698174765333217,0.6885916503365868,0.049875357889666544,0.018987230212615946
atr_percentage|mp_d4_b291_sym_frob|volatility_score,mean3,3,0.06886258810228249,0.7986530189234424,0.25,0.08732897389425115,0.050955789758555324,0.27698173917120095,0.6885916033810617,0.049875357889666544,0.018987230212615946
F4_Price_Ratio|rapid_price_change_zscore|volatility_score,mean3,3,0.06071547692763395,0.7980825442314932,0.3125,0.07177480590516727,0.049991279131237985,0.2652139373289114,0.4080050082508301,0.05307409683031943,0.007641380097314521
