feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
noise_PinkNoise,-0.0210132112024376,-0.1921942746695362,71,-0.006725184435514678,-0.12279671192473605,363.0,0.1921942746695362
trend_consistency_20d,0.03254123376967384,0.1906823175824274,71,0.013012401712976159,0.11047875613876214,508.0,0.1906823175824274
Price_Differential_Ratio_Autocorr_3d,-0.020987357584315677,-0.19056213985393405,71,0.0017607152556544635,0.03145538316382167,313.0,0.19056213985393405
G_PDA_Info_Decay_3d,0.020987357584315677,0.19056213985393405,71,-0.0017607307587257598,-0.03145564835939688,542.0,0.19056213985393405
G_PDA_Autocorr_3d,-0.020987357584315677,-0.19056213985393405,71,0.0017607152556544635,0.03145538316382167,342.0,0.19056213985393405
volume_persistence,0.022761039399041526,0.18850248850524573,71,0.02261727687507517,0.432584769133589,530.0,0.18850248850524573
cv_50d_regime_high,0.022033431014807016,0.1862173123589402,71,0.011385762561466119,0.15664616245967364,562.0,0.1862173123589402
higuchi_fractal_dimension,-0.021463012319916583,-0.18513794771115735,71,-0.010051912776000533,-0.15861518787275863,507.0,0.18513794771115735
higher_order_moments_Skewness,-0.023916097812891654,-0.18487262478567057,71,-0.01559954497086858,-0.2104543854024822,417.0,0.18487262478567057
entropy,0.021707934636210565,0.18108779492474095,71,0.018960972823437647,0.2886973489002113,173.0,0.18108779492474095
cv_50d_regime_low,-0.018911442139850472,-0.1779382959814894,71,-0.007719524718085822,-0.13413049131215737,268.0,0.1779382959814894
higher_order_moments_Kurtosis,-0.022242451220937022,-0.17548087592106557,71,-0.018979130079627746,-0.2916888882072333,164.0,0.17548087592106557
14ma%_change,-0.02028668037123605,-0.17382796773817635,71,-0.008117111285278453,-0.14100223214704216,481.0,0.17382796773817635
noise_WhiteNoise,-0.018225447869249095,-0.1713384949003875,71,-0.0006624604324076532,-0.019200870543707272,513.0,0.1713384949003875
Price_Differential_Ratio_InfoDecay_3d,0.016753248070894254,0.16966900946625205,71,-0.0019576919058513645,-0.036681324874733766,158.0,0.16966900946625205
cv_50d_percentile,0.021509226796801447,0.1657877131891967,71,0.014184005540558719,0.16660913882379744,296.0,0.1657877131891967
price_position_20d,0.030377683427974235,0.16448810183659196,71,0.0031473189682940028,0.02193089805132138,284.0,0.16448810183659196
sustained_volume_burst_count,-0.017532512298590455,-0.16261815974689406,70,-0.005088316298103968,-0.16504578475410575,565.0,0.16261815974689406
KC_UPPER%,-0.028670951852592587,-0.15967541966299062,71,-0.008441500241480453,-0.05357983642139452,90.0,0.15967541966299062
trading_signal_composite,0.023329892889881153,0.15922230575821503,71,0.012837414353869411,0.126872368314429,397.0,0.15922230575821503
stress_v7,-0.020495806815148197,-0.15804461098767447,71,-0.0045642050602944725,-0.031332410620797314,519.0,0.15804461098767447
Lyapunov_Exponent,0.028509902487327866,0.1553957593771858,71,0.005777880127975312,0.0379604191327221,412.0,0.1553957593771858
HC_Predict_Regime_norm,0.019979977574256527,0.1536497695434408,71,0.004042225037785551,0.04337193893372684,244.0,0.1536497695434408
Volume_rolling_28,-0.01781951405108259,-0.1513884730156189,71,0.004616499290163413,0.04701564199478434,434.0,0.1513884730156189
distance_from_sma_20d,0.027785377816994014,0.15017110484540275,71,0.00626895980510077,0.040252068442469854,150.0,0.15017110484540275
percent_change_Close_lag_10,0.02302900945137103,0.1491533202090776,71,0.017295927374822533,0.14363973028082105,450.0,0.1491533202090776
volatility_score,0.01826343986667783,0.14877051360335258,71,0.004273188610459446,0.05188627423842888,505.0,0.14877051360335258
KC_LOWER%,0.027016927517710093,0.14588859393383297,71,0.003447801521217689,0.023434254603558403,457.0,0.14588859393383297
Volume%_rolling_90,0.019840317618985113,0.14334873469820714,71,0.019769812865462637,0.2976338975008195,63.0,0.14334873469820714
